2022-04-18 14:26:51.104 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-18 14:26:51.221 +08:00 [INF] Starting default Dispatcher
2022-04-18 14:26:51.301 +08:00 [INF] Starting the processing server.
2022-04-18 14:26:51.320 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-oi4Ime07fmecXfScOCU82g
2022-04-18 14:26:51.347 +08:00 [INF] ### CAP started!
2022-04-18 14:26:51.354 +08:00 [INF] Loaded ABP modules:
2022-04-18 14:26:51.355 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-18 14:26:51.356 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-18 14:26:51.476 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementDomainModule
2022-04-18 14:26:51.477 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2022-04-18 14:26:51.477 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2022-04-18 14:26:51.478 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2022-04-18 14:26:51.479 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2022-04-18 14:26:51.480 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.481 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.481 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2022-04-18 14:26:51.482 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2022-04-18 14:26:51.483 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2022-04-18 14:26:51.484 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.485 +08:00 [INF]     - Volo.Abp.FeatureManagement.EntityFrameworkCore.AbpFeatureManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.486 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.EntityFrameworkCore.DataDictionaryManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.487 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.EntityFrameworkCore.NotificationManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.488 +08:00 [INF]     - Lion.AbpPro.FileManagement.EntityFrameworkCore.FileManagementEntityFrameworkCoreModule
2022-04-18 14:26:51.489 +08:00 [INF]   - Volo.Abp.AspNetCore.Authentication.JwtBearer.AbpAspNetCoreAuthenticationJwtBearerModule
2022-04-18 14:26:51.489 +08:00 [INF]   - Volo.Abp.AspNetCore.Serilog.AbpAspNetCoreSerilogModule
2022-04-18 14:26:51.490 +08:00 [INF]   - Volo.Abp.Account.Web.AbpAccountWebModule
2022-04-18 14:26:51.494 +08:00 [INF]     - Volo.Abp.Identity.AspNetCore.AbpIdentityAspNetCoreModule
2022-04-18 14:26:51.495 +08:00 [INF]   - Volo.Abp.BackgroundJobs.Hangfire.AbpBackgroundJobsHangfireModule
2022-04-18 14:26:51.495 +08:00 [INF]     - Volo.Abp.Hangfire.AbpHangfireModule
2022-04-18 14:26:51.496 +08:00 [INF]   - Lion.AbpPro.AbpProApplicationModule
2022-04-18 14:26:51.497 +08:00 [INF]     - Volo.Abp.Account.AbpAccountApplicationModule
2022-04-18 14:26:51.498 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityApplicationModule
2022-04-18 14:26:51.498 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementApplicationModule
