2022-04-24 15:56:40.637 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-24 15:56:40.766 +08:00 [INF] Starting default Dispatcher
2022-04-24 15:56:40.858 +08:00 [INF] Starting the processing server.
2022-04-24 15:56:40.883 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-esjfjADrEC0ymXC_iZlyIQ
2022-04-24 15:56:40.920 +08:00 [INF] ### CAP started!
2022-04-24 15:56:40.929 +08:00 [INF] Loaded ABP modules:
2022-04-24 15:56:40.931 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-24 15:56:40.932 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-24 15:56:41.010 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-04-24 15:56:41.010 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-04-24 15:56:41.011 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-04-24 15:56:41.012 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-04-24 15:56:41.013 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-04-24 15:56:41.014 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-04-24 15:56:41.017 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-04-24 15:56:41.018 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-04-24 15:56:41.019 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-04-24 15:56:41.020 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-04-24 15:56:41.021 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-04-24 15:56:41.021 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2022-04-24 15:56:41.022 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2022-04-24 15:56:41.024 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
2022-04-24 15:56:41.024 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2022-04-24 15:56:41.025 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2022-04-24 15:56:41.026 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2022-04-24 15:56:41.027 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-04-24 15:56:41.028 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-04-24 15:56:41.029 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-04-24 15:56:41.030 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2022-04-24 15:56:41.032 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2022-04-24 15:56:41.034 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2022-04-24 15:56:41.035 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2022-04-24 15:56:41.035 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2022-04-24 15:56:41.036 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2022-04-24 15:56:41.037 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2022-04-24 15:56:41.038 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2022-04-24 15:56:41.038 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2022-04-24 15:56:41.039 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
2022-04-24 15:56:41.040 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2022-04-24 15:56:41.041 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2022-04-24 15:56:41.041 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2022-04-24 15:56:41.042 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2022-04-24 15:56:41.043 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2022-04-24 15:56:41.043 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
