2022-04-15 10:22:40.839 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-15 10:22:41.051 +08:00 [INF] Starting default Dispatcher
2022-04-15 10:22:41.180 +08:00 [INF] Starting the processing server.
2022-04-15 10:22:41.210 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-rkeZYWKyHJ9TZDeTzDRanw
2022-04-15 10:22:41.255 +08:00 [INF] ### CAP started!
2022-04-15 10:22:41.265 +08:00 [INF] Loaded ABP modules:
2022-04-15 10:22:41.266 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-15 10:22:41.267 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-15 10:22:41.405 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.NotificationManagementHttpApiModule
2022-04-15 10:22:41.406 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementApplicationContractsModule
2022-04-15 10:22:41.409 +08:00 [INF]         - Lion.AbpPro.NotificationManagement.NotificationManagementDomainSharedModule
2022-04-15 10:22:41.411 +08:00 [INF]     - Lion.AbpPro.FileManagement.FileManagementHttpApiModule
2022-04-15 10:22:41.412 +08:00 [INF]   - Lion.AbpPro.Shared.Hosting.Microservices.SharedHostingMicroserviceModule
2022-04-15 10:22:41.413 +08:00 [INF]     - Volo.Abp.Swashbuckle.AbpSwashbuckleModule
2022-04-15 10:22:41.415 +08:00 [INF]     - Volo.Abp.Autofac.AbpAutofacModule
2022-04-15 10:22:41.421 +08:00 [INF]       - Volo.Abp.Castle.AbpCastleCoreModule
2022-04-15 10:22:41.422 +08:00 [INF]   - Volo.Abp.AspNetCore.Mvc.UI.MultiTenancy.AbpAspNetCoreMvcUiMultiTenancyModule
2022-04-15 10:22:41.426 +08:00 [INF]     - Volo.Abp.AspNetCore.Mvc.UI.Theme.Shared.AbpAspNetCoreMvcUiThemeSharedModule
2022-04-15 10:22:41.427 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Bootstrap.AbpAspNetCoreMvcUiBootstrapModule
2022-04-15 10:22:41.428 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.AbpAspNetCoreMvcUiModule
2022-04-15 10:22:41.430 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Packages.AbpAspNetCoreMvcUiPackagesModule
2022-04-15 10:22:41.431 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingAbstractionsModule
2022-04-15 10:22:41.433 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2022-04-15 10:22:41.436 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2022-04-15 10:22:41.438 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2022-04-15 10:22:41.441 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-04-15 10:22:41.443 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-04-15 10:22:41.444 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-04-15 10:22:41.445 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2022-04-15 10:22:41.448 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2022-04-15 10:22:41.451 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2022-04-15 10:22:41.452 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2022-04-15 10:22:41.453 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2022-04-15 10:22:41.457 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2022-04-15 10:22:41.459 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2022-04-15 10:22:41.461 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2022-04-15 10:22:41.462 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2022-04-15 10:22:41.469 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
2022-04-15 10:22:41.477 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2022-04-15 10:22:41.480 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2022-04-15 10:22:41.484 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2022-04-15 10:22:41.485 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2022-04-15 10:22:41.489 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2022-04-15 10:22:41.490 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
2022-04-15 10:22:41.491 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2022-04-15 10:22:41.492 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2022-04-15 10:22:41.493 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2022-04-15 10:22:41.494 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2022-04-15 10:22:41.496 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
2022-04-15 10:22:41.499 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementDomainModule
2022-04-15 10:22:41.500 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2022-04-15 10:22:41.501 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2022-04-15 10:22:41.504 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2022-04-15 10:22:41.506 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2022-04-15 10:22:41.507 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.508 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.509 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2022-04-15 10:22:41.510 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2022-04-15 10:22:41.512 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2022-04-15 10:22:41.515 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.517 +08:00 [INF]     - Volo.Abp.FeatureManagement.EntityFrameworkCore.AbpFeatureManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.521 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.EntityFrameworkCore.DataDictionaryManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.523 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.EntityFrameworkCore.NotificationManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.524 +08:00 [INF]     - Lion.AbpPro.FileManagement.EntityFrameworkCore.FileManagementEntityFrameworkCoreModule
2022-04-15 10:22:41.525 +08:00 [INF]   - Volo.Abp.AspNetCore.Authentication.JwtBearer.AbpAspNetCoreAuthenticationJwtBearerModule
2022-04-15 10:22:41.526 +08:00 [INF]   - Volo.Abp.AspNetCore.Serilog.AbpAspNetCoreSerilogModule
2022-04-15 10:22:41.527 +08:00 [INF]   - Volo.Abp.Account.Web.AbpAccountWebModule
2022-04-15 10:22:41.528 +08:00 [INF]     - Volo.Abp.Identity.AspNetCore.AbpIdentityAspNetCoreModule
2022-04-15 10:22:41.534 +08:00 [INF]   - Volo.Abp.BackgroundJobs.Hangfire.AbpBackgroundJobsHangfireModule
2022-04-15 10:22:41.535 +08:00 [INF]     - Volo.Abp.Hangfire.AbpHangfireModule
2022-04-15 10:22:41.536 +08:00 [INF]   - Lion.AbpPro.AbpProApplicationModule
2022-04-15 10:22:41.537 +08:00 [INF]     - Volo.Abp.Account.AbpAccountApplicationModule
