2022-04-29 17:44:43.116 +08:00 [INF] Entity Framework Core 6.0.0 initialized 'AbpProDbContext' using provider 'Pomelo.EntityFrameworkCore.MySql:6.0.0' with options: QuerySplittingBehavior=SplitQuery ServerVersion 5.7.35-mysql 
2022-04-29 17:44:43.265 +08:00 [INF] Starting default Dispatcher
2022-04-29 17:44:43.411 +08:00 [INF] Starting the processing server.
2022-04-29 17:44:43.445 +08:00 [INF] RabbitMQ consumer registered. --> amq.ctag-KgJLq5uj1udx54HbQpllTw
2022-04-29 17:44:43.476 +08:00 [INF] ### CAP started!
2022-04-29 17:44:43.486 +08:00 [INF] Loaded ABP modules:
2022-04-29 17:44:43.488 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-04-29 17:44:43.489 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-04-29 17:44:43.625 +08:00 [INF]       - Volo.Abp.AspNetCore.Mvc.UI.Widgets.AbpAspNetCoreMvcUiWidgetsModule
2022-04-29 17:44:43.626 +08:00 [INF]         - Volo.Abp.AspNetCore.Mvc.UI.Bundling.AbpAspNetCoreMvcUiBundlingModule
2022-04-29 17:44:43.629 +08:00 [INF]     - Volo.Abp.AspNetCore.MultiTenancy.AbpAspNetCoreMultiTenancyModule
2022-04-29 17:44:43.630 +08:00 [INF]   - Lion.AbpPro.EntityFrameworkCore.AbpProEntityFrameworkCoreModule
2022-04-29 17:44:43.631 +08:00 [INF]     - Lion.AbpPro.AbpProDomainModule
2022-04-29 17:44:43.632 +08:00 [INF]       - Volo.Abp.AuditLogging.AbpAuditLoggingDomainModule
2022-04-29 17:44:43.637 +08:00 [INF]       - Volo.Abp.BackgroundJobs.AbpBackgroundJobsDomainModule
2022-04-29 17:44:43.638 +08:00 [INF]         - Volo.Abp.BackgroundJobs.AbpBackgroundJobsModule
2022-04-29 17:44:43.639 +08:00 [INF]           - Volo.Abp.BackgroundJobs.AbpBackgroundJobsAbstractionsModule
2022-04-29 17:44:43.640 +08:00 [INF]         - Volo.Abp.AutoMapper.AbpAutoMapperModule
2022-04-29 17:44:43.643 +08:00 [INF]       - Volo.Abp.FeatureManagement.AbpFeatureManagementDomainModule
2022-04-29 17:44:43.643 +08:00 [INF]         - Volo.Abp.Caching.AbpCachingModule
2022-04-29 17:44:43.644 +08:00 [INF]           - Volo.Abp.Serialization.AbpSerializationModule
2022-04-29 17:44:43.645 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityDomainModule
2022-04-29 17:44:43.646 +08:00 [INF]         - Volo.Abp.Users.AbpUsersDomainModule
2022-04-29 17:44:43.648 +08:00 [INF]       - Volo.Abp.PermissionManagement.Identity.AbpPermissionManagementDomainIdentityModule
2022-04-29 17:44:43.651 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2022-04-29 17:44:43.652 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2022-04-29 17:44:43.653 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2022-04-29 17:44:43.654 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2022-04-29 17:44:43.655 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2022-04-29 17:44:43.656 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
2022-04-29 17:44:43.657 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2022-04-29 17:44:43.658 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2022-04-29 17:44:43.659 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2022-04-29 17:44:43.660 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2022-04-29 17:44:43.661 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
2022-04-29 17:44:43.662 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementDomainModule
2022-04-29 17:44:43.664 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2022-04-29 17:44:43.668 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2022-04-29 17:44:43.669 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2022-04-29 17:44:43.670 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2022-04-29 17:44:43.671 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.672 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.673 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2022-04-29 17:44:43.677 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2022-04-29 17:44:43.689 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2022-04-29 17:44:43.690 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.692 +08:00 [INF]     - Volo.Abp.FeatureManagement.EntityFrameworkCore.AbpFeatureManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.693 +08:00 [INF]     - Lion.AbpPro.DataDictionaryManagement.EntityFrameworkCore.DataDictionaryManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.697 +08:00 [INF]     - Lion.AbpPro.NotificationManagement.EntityFrameworkCore.NotificationManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.707 +08:00 [INF]     - Lion.AbpPro.FileManagement.EntityFrameworkCore.FileManagementEntityFrameworkCoreModule
2022-04-29 17:44:43.715 +08:00 [INF]   - Volo.Abp.AspNetCore.Authentication.JwtBearer.AbpAspNetCoreAuthenticationJwtBearerModule
2022-04-29 17:44:43.722 +08:00 [INF]   - Volo.Abp.AspNetCore.Serilog.AbpAspNetCoreSerilogModule
2022-04-29 17:44:43.723 +08:00 [INF]   - Volo.Abp.Account.Web.AbpAccountWebModule
2022-04-29 17:44:43.726 +08:00 [INF]     - Volo.Abp.Identity.AspNetCore.AbpIdentityAspNetCoreModule
2022-04-29 17:44:43.728 +08:00 [INF]   - Volo.Abp.BackgroundJobs.Hangfire.AbpBackgroundJobsHangfireModule
2022-04-29 17:44:43.729 +08:00 [INF]     - Volo.Abp.Hangfire.AbpHangfireModule
2022-04-29 17:44:43.730 +08:00 [INF]   - Lion.AbpPro.AbpProApplicationModule
2022-04-29 17:44:43.731 +08:00 [INF]     - Volo.Abp.Account.AbpAccountApplicationModule
2022-04-29 17:44:43.732 +08:00 [INF]       - Volo.Abp.Identity.AbpIdentityApplicationModule
