2022-03-07 23:02:57.663 +08:00 [INF] Starting default Dispatcher
2022-03-07 23:02:57.721 +08:00 [INF] Starting the processing server.
2022-03-07 23:02:57.722 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleEto.Deleted
2022-03-07 23:02:57.723 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Volo.Abp.Identity.IdentityRoleNameChangedEto
2022-03-07 23:02:57.724 +08:00 [INF] InMemory message queue initialize the topic: cap.queue.lion.abppro.httpapi.host.0.v1 Lion.AbpPro.NotificationManagement.Notifications.DistributedEvents.CreatedNotificationDistributedEvent
2022-03-07 23:02:57.735 +08:00 [INF] ### CAP started!
2022-03-07 23:02:57.755 +08:00 [INF] Loaded ABP modules:
2022-03-07 23:02:57.755 +08:00 [INF] - Lion.AbpPro.AbpProHttpApiHostModule
2022-03-07 23:02:57.756 +08:00 [INF]   - Lion.AbpPro.AbpProHttpApiModule
2022-03-07 23:02:57.843 +08:00 [INF]         - Volo.Abp.PermissionManagement.AbpPermissionManagementDomainModule
2022-03-07 23:02:57.844 +08:00 [INF]       - Volo.Abp.IdentityServer.AbpIdentityServerDomainModule
2022-03-07 23:02:57.847 +08:00 [INF]       - Volo.Abp.PermissionManagement.IdentityServer.AbpPermissionManagementDomainIdentityServerModule
2022-03-07 23:02:57.848 +08:00 [INF]       - Volo.Abp.SettingManagement.AbpSettingManagementDomainModule
2022-03-07 23:02:57.848 +08:00 [INF]       - Volo.Abp.TenantManagement.AbpTenantManagementDomainModule
2022-03-07 23:02:57.849 +08:00 [INF]       - Volo.Abp.Emailing.AbpEmailingModule
2022-03-07 23:02:57.850 +08:00 [INF]         - Volo.Abp.TextTemplating.AbpTextTemplatingModule
2022-03-07 23:02:57.851 +08:00 [INF]           - Volo.Abp.TextTemplating.Scriban.AbpTextTemplatingScribanModule
2022-03-07 23:02:57.851 +08:00 [INF]             - Volo.Abp.TextTemplating.AbpTextTemplatingCoreModule
2022-03-07 23:02:57.853 +08:00 [INF]       - Lion.AbpPro.DataDictionaryManagement.DataDictionaryManagementDomainModule
2022-03-07 23:02:57.854 +08:00 [INF]       - Lion.AbpPro.NotificationManagement.NotificationManagementDomainModule
2022-03-07 23:02:57.854 +08:00 [INF]       - Lion.AbpPro.FileManagement.FileManagementDomainModule
2022-03-07 23:02:57.855 +08:00 [INF]     - Volo.Abp.Identity.EntityFrameworkCore.AbpIdentityEntityFrameworkCoreModule
2022-03-07 23:02:57.856 +08:00 [INF]       - Volo.Abp.Users.EntityFrameworkCore.AbpUsersEntityFrameworkCoreModule
2022-03-07 23:02:57.857 +08:00 [INF]         - Volo.Abp.EntityFrameworkCore.AbpEntityFrameworkCoreModule
2022-03-07 23:02:57.858 +08:00 [INF]     - Volo.Abp.IdentityServer.EntityFrameworkCore.AbpIdentityServerEntityFrameworkCoreModule
2022-03-07 23:02:57.858 +08:00 [INF]     - Volo.Abp.PermissionManagement.EntityFrameworkCore.AbpPermissionManagementEntityFrameworkCoreModule
2022-03-07 23:02:57.859 +08:00 [INF]     - Volo.Abp.SettingManagement.EntityFrameworkCore.AbpSettingManagementEntityFrameworkCoreModule
2022-03-07 23:02:57.863 +08:00 [INF]     - Volo.Abp.EntityFrameworkCore.MySQL.AbpEntityFrameworkCoreMySQLModule
2022-03-07 23:02:57.864 +08:00 [INF]     - Volo.Abp.BackgroundJobs.EntityFrameworkCore.AbpBackgroundJobsEntityFrameworkCoreModule
2022-03-07 23:02:57.864 +08:00 [INF]     - Volo.Abp.AuditLogging.EntityFrameworkCore.AbpAuditLoggingEntityFrameworkCoreModule
2022-03-07 23:02:57.865 +08:00 [INF]     - Volo.Abp.TenantManagement.EntityFrameworkCore.AbpTenantManagementEntityFrameworkCoreModule
